date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:46	178686/178686	---MCZ	200	added ('OK')	text/html	etag:%228271-1708098997;gz%22	https://meustc.com/?ref=X90827672S	D:/Desktop/stc/stc/meustc.com/index2ae5.html	(from )
20:29:46	107/107	---M-Z	200	added ('OK')	text/plain	etag:%228003-1708063157;gz%22	https://meustc.com/robots.txt		(from )
20:29:46	11085/11085	---M-Z	200	added ('OK')	text/css	etag:%222b4d-6568c28b-9a08a227509b7691;gz%22	https://meustc.com/wp-content/uploads/blocksy/css/global.css?ver=64363	D:/Desktop/stc/stc/meustc.com/wp-content/uploads/blocksy/css/globale437.css	(from https://meustc.com/?ref=X90827672S)
20:29:47	1841/1841	---MCZ	200	added ('OK')	application/rss+xml	etag:%229f98cf8ba684f75876aed7d59d246d4b%22	https://meustc.com/feed/	D:/Desktop/stc/stc/meustc.com/feed/index.html	(from https://meustc.com/?ref=X90827672S)
20:29:47	70/70	---M--	200	added ('OK')	text/css	etag:%2246-655e37b8-8e39721a4e81e9fd;;;%22	https://meustc.com/wp-content/plugins/activecampaign-subscription-forms/activecampaign-form-block/build/style-index.css?ver=1700673464	D:/Desktop/stc/stc/meustc.com/wp-content/plugins/activecampaign-subscription-forms/activecampaign-form-block/build/style-index6496.css	(from https://meustc.com/?ref=X90827672S)
20:29:47	1631/1631	---MCZ	200	added ('OK')	application/rss+xml	etag:%229f98cf8ba684f75876aed7d59d246d4b%22	https://meustc.com/comments/feed/	D:/Desktop/stc/stc/meustc.com/comments/feed/index.html	(from https://meustc.com/?ref=X90827672S)
20:29:47	19653/19653	---M-Z	200	added ('OK')	text/css	etag:%224cc5-65c3c24f-e5c99a6ca9f17c2f;gz%22	https://meustc.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.27.0	D:/Desktop/stc/stc/meustc.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min50c3.css	(from https://meustc.com/?ref=X90827672S)
20:29:47	118630/118630	---M-Z	200	added ('OK')	text/css	etag:%221cf66-65c3c24f-d1db7b51a409fc25;gz%22	https://meustc.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.19.2	D:/Desktop/stc/stc/meustc.com/wp-content/plugins/elementor/assets/css/frontend-lite.min34a7.css	(from https://meustc.com/?ref=X90827672S)
20:29:48	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-65c3c24f-f905dd479422751;gz%22	https://meustc.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	D:/Desktop/stc/stc/meustc.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://meustc.com/?ref=X90827672S)
20:29:48	6218/6218	---M-Z	200	added ('OK')	text/css	etag:%22184a-65c46b7e-54075dcd0b69632e;gz%22	https://meustc.com/wp-content/uploads/elementor/css/post-10.css?ver=1707371390	D:/Desktop/stc/stc/meustc.com/wp-content/uploads/elementor/css/post-10a559.css	(from https://meustc.com/?ref=X90827672S)
20:29:48	11053/11053	---M-Z	200	added ('OK')	text/css	etag:%222b2d-65c46b72-bb062b313114d39;gz%22	https://meustc.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.19.2	D:/Desktop/stc/stc/meustc.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min34a7.css	(from https://meustc.com/?ref=X90827672S)
20:29:48	190179/190179	---M-Z	200	added ('OK')	text/css	etag:%222e6e3-65c46b7f-74fbd4907c8e6716;gz%22	https://meustc.com/wp-content/uploads/elementor/css/post-573.css?ver=1707371391	D:/Desktop/stc/stc/meustc.com/wp-content/uploads/elementor/css/post-5733a23.css	(from https://meustc.com/?ref=X90827672S)
20:29:49	99527/99527	---M-Z	200	added ('OK')	text/css	etag:%22184c7-6568c288-bfeeb2bc405aa045;gz%22	https://meustc.com/wp-content/themes/blocksy/static/bundle/main.min.css?ver=2.0.3	D:/Desktop/stc/stc/meustc.com/wp-content/themes/blocksy/static/bundle/main.minb95e.css	(from https://meustc.com/?ref=X90827672S)
20:29:49	1371/1371	---M-Z	200	added ('OK')	text/css	etag:%2255b-6568c288-78a0e2e087899f94;gz%22	https://meustc.com/wp-content/themes/blocksy/static/bundle/page-title.min.css?ver=2.0.3	D:/Desktop/stc/stc/meustc.com/wp-content/themes/blocksy/static/bundle/page-title.minb95e.css	(from https://meustc.com/?ref=X90827672S)
20:29:49	2042/2042	---M-Z	200	added ('OK')	text/css	etag:%227fa-6568c288-fc87cecdf324c8;gz%22	https://meustc.com/wp-content/themes/blocksy/static/bundle/elementor-frontend.min.css?ver=2.0.3	D:/Desktop/stc/stc/meustc.com/wp-content/themes/blocksy/static/bundle/elementor-frontend.minb95e.css	(from https://meustc.com/?ref=X90827672S)
20:29:53	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-654a9d8a-9bff55349982ca36;gz%22	https://meustc.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	D:/Desktop/stc/stc/meustc.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://meustc.com/?ref=X90827672S)
20:29:53	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-654a7436-8de64c0b3161c195;gz%22	https://meustc.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/Desktop/stc/stc/meustc.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://meustc.com/?ref=X90827672S)
20:29:53	1317/1317	---M-Z	200	added ('OK')	application/x-javascript	etag:%22525-654501ce-7e24a6e37e8182e9;gz%22	https://meustc.com/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min.js?ver=6.4.3	D:/Desktop/stc/stc/meustc.com/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min84fc.js	(from https://meustc.com/?ref=X90827672S)
20:29:53	1709/1709	---M-Z	200	added ('OK')	application/x-javascript	etag:%226ad-654501ce-cd0079c1c5fb65f;gz%22	https://meustc.com/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min.js?ver=2.1.3	D:/Desktop/stc/stc/meustc.com/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min4c71.js	(from https://meustc.com/?ref=X90827672S)
20:29:53	113558/113558	---M-Z	200	added ('OK')	application/x-javascript	etag:%221bb96-654501ce-6a4d30ae990a61f6;gz%22	https://meustc.com/wp-content/plugins/pixelyoursite/dist/scripts/public.js?ver=9.4.7.1	D:/Desktop/stc/stc/meustc.com/wp-content/plugins/pixelyoursite/dist/scripts/public31ce.js	(from https://meustc.com/?ref=X90827672S)
20:29:54	152830/152830	---MCZ	200	added ('OK')	application/json	etag:%228231-1708094171;gz%22	https://meustc.com/wp-json/wp/v2/pages/573	D:/Desktop/stc/stc/meustc.com/wp-json/wp/v2/pages/573.json	(from https://meustc.com/?ref=X90827672S)
20:29:54	199642/199642	---M-Z	200	added ('OK')	application/json	etag:%228025-1708066271;gz%22	https://meustc.com/wp-json/	D:/Desktop/stc/stc/meustc.com/wp-json/index.html	(from https://meustc.com/?ref=X90827672S)
20:29:54	774/774	---M-Z	200	added ('OK')	text/xml	date:Sun,%2018%20Feb%202024%2023:29:54%20GMT	https://meustc.com/xmlrpc.php?rsd	D:/Desktop/stc/stc/meustc.com/xmlrpc0db0.php	(from https://meustc.com/?ref=X90827672S)
20:29:54	2099/2099	---MCZ	200	added ('OK')	application/json	etag:%228233-1708094185;gz%22	https://meustc.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmeustc.com%2F	D:/Desktop/stc/stc/meustc.com/wp-json/oembed/1.0/embed44d5.json	(from https://meustc.com/?ref=X90827672S)
20:29:55	178686/178686	---M-Z	200	added ('OK')	text/html	etag:%228004-1708063164;gz%22	https://meustc.com/	D:/Desktop/stc/stc/meustc.com/index.html	(from https://meustc.com/?ref=X90827672S)
